date,volume,close
2021-08-09,0.0,0.0
2021-08-10,70.726,0.192
2021-08-11,91.636,0.339
2021-08-12,55.925,0.25
2021-08-13,61.717,0.29
2021-08-14,42.006,0.225
2021-08-15,59.618,0.007
2021-08-16,31.839,0.287
2021-08-17,21.899,0.181
2021-08-18,26.612,0.158
2021-08-19,19.402,0.235
2021-08-20,137.513,0.31
2021-08-21,169.674,0.309
2021-08-22,112.658,0.42
2021-08-23,156.538,0.398
2021-08-24,522.209,0.9
2021-08-25,904.364,1.157
2021-08-26,371.018,1.1
2021-08-27,134.664,0.99
2021-08-28,201.343,1.2
2021-08-29,336.984,1.4
2021-08-30,224.886,1.093
2021-08-31,151.914,1.047
2021-09-01,131.228,0.95
2021-09-02,68.058,1.0
2021-09-03,68.12,0.732
2021-09-04,83.314,0.814
2021-09-05,46.643,0.98
2021-09-06,75.668,0.69
2021-09-07,70.477,0.9
2021-09-08,131.278,1.06
2021-09-09,148.549,1.0
2021-09-10,119.27,1.1
2021-09-11,79.294,1.1
2021-09-12,69.525,0.96
2021-09-13,61.965,1.14
2021-09-14,125.78,1.19
2021-09-15,261.763,1.31
2021-09-16,197.003,1.4
2021-09-17,200.041,1.45
2021-09-18,316.561,2.0
2021-09-19,678.241,2.919
2021-09-20,213.009,2.39
2021-09-21,103.459,2.15
2021-09-22,378.815,3.0
2021-09-23,785.923,3.9
2021-09-24,700.44,4.2
2021-09-25,220.944,3.631
2021-09-26,195.959,3.8
2021-09-27,334.24,3.69
2021-09-28,219.078,3.98
2021-09-29,202.503,3.115
2021-09-30,325.074,3.0
2021-10-01,169.914,2.704
2021-10-02,140.749,2.99
2021-10-03,131.444,2.77
2021-10-04,216.939,3.0
2021-10-05,117.628,2.89
2021-10-06,107.321,2.68
2021-10-07,130.11,2.98
2021-10-08,139.75,2.9
2021-10-09,155.773,2.651
2021-10-10,53.912,2.279
2021-10-11,70.246,2.3
2021-10-12,47.478,2.011
2021-10-13,94.895,1.88
2021-10-14,57.521,1.572
2021-10-15,50.82,1.419
2021-10-16,43.856,1.78
2021-10-17,57.074,1.65
2021-10-18,32.456,1.251
2021-10-19,50.276,1.35
2021-10-20,52.508,1.33
2021-10-21,54.609,1.5
2021-10-22,69.987,1.7
2021-10-23,144.471,1.87
2021-10-24,63.213,1.882
2021-10-25,52.394,1.86
2021-10-26,39.062,1.98
2021-10-27,70.643,2.1
2021-10-28,43.876,1.704
2021-10-29,52.403,1.95
2021-10-30,36.882,1.93
2021-10-31,36.306,1.92
2021-11-01,33.873,1.65
2021-11-02,30.667,1.6
2021-11-03,30.571,1.55
2021-11-04,21.489,1.162
2021-11-05,32.959,1.484
2021-11-06,28.556,1.5
2021-11-07,26.574,1.4
2021-11-08,28.292,1.2
2021-11-09,38.785,1.3
2021-11-10,28.079,1.2
2021-11-11,29.818,1.38
2021-11-12,29.548,1.15
2021-11-13,37.708,1.299
2021-11-14,72.976,1.7
2021-11-15,74.851,1.404
2021-11-16,84.759,1.97
2021-11-17,90.182,1.8
2021-11-18,53.966,1.638
2021-11-19,62.138,1.825
2021-11-20,36.999,1.626
2021-11-21,55.337,1.229
2021-11-22,12.347,1.492
2021-11-23,22.496,1.241
2021-11-24,24.8,1.3
2021-11-25,20.907,1.06
2021-11-26,32.022,1.2
2021-11-27,39.704,1.101
2021-11-28,16.299,1.2
2021-11-29,16.946,1.05
2021-11-30,22.1,0.955
